"synsetid","wordid","casedwordid","lemma","senseid","sensenum","lexid","tagcount","sensekey","cased","pos","lexdomainid","definition","sampleset"
107919883,19697,5343,"calvados",26912,1,0,0,"calvados%1:13:00::","Calvados","n",13,"dry apple brandy made in Normandy",NULL
107919971,7843,2457,"armagnac",10183,1,0,0,"armagnac%1:13:00::","Armagnac","n",13,"dry brandy distilled in the Armagnac district of France",NULL
107920081,26951,7363,"cognac",36824,1,0,0,"cognac%1:13:00::","Cognac","n",13,"high quality grape brandy distilled in the Cognac district of France",NULL
107920202,59493,NULL,"grappa",82469,1,0,0,"grappa%1:13:00::",NULL,"n",13,"Italian brandy made from residue of grapes after pressing",NULL
107920312,74117,NULL,"kirsch",102658,1,0,0,"kirsch%1:13:00::",NULL,"n",13,"from fermented juice of black morello cherries",NULL
107920430,81866,NULL,"marc",113216,1,0,0,"marc%1:13:00::",NULL,"n",13,"made from residue of grapes or apples after pressing",NULL
107920533,121390,NULL,"slivovitz",169379,1,0,0,"slivovitz%1:13:00::",NULL,"n",13,"a colorless plum brandy popular in the Balkans",NULL
107920635,57806,NULL,"gin",80059,1,0,0,"gin%1:13:00::",NULL,"n",13,"strong liquor flavored with juniper berries",NULL
107920877,121399,NULL,"sloe gin",169391,1,0,0,"sloe_gin%1:13:00::",NULL,"n",13,"gin flavored with sloes (fruit of the blackthorn)",NULL
107921000,53348,NULL,"geneva",75315,2,0,0,"geneva%1:13:00::",NULL,"n",13,"gin made in the Netherlands",NULL
107921000,64653,14641,"holland gin",89578,1,0,0,"holland_gin%1:13:00::","Holland gin","n",13,"gin made in the Netherlands",NULL
107921000,64656,14643,"hollands",89581,1,0,0,"hollands%1:13:00::","Hollands","n",13,"gin made in the Netherlands",NULL
107921105,60226,NULL,"grog",83455,1,0,0,"grog%1:13:00::",NULL,"n",13,"rum cut with water",NULL
107921174,95079,NULL,"ouzo",130733,1,0,0,"ouzo%1:13:00::",NULL,"n",13,"a Greek liquor flavored with anise",NULL
107921278,113461,NULL,"rum",157705,1,0,0,"rum%1:13:00::",NULL,"n",13,"liquor distilled from fermented molasses",NULL
107921536,34994,NULL,"demerara",48948,4,1,0,"demerara%1:13:01::",NULL,"n",13,"dark rum from Guyana",NULL
107921536,34995,NULL,"demerara rum",48952,1,0,0,"demerara_rum%1:13:00::",NULL,"n",13,"dark rum from Guyana",NULL
107921626,71574,16045,"jamaica rum",99333,1,0,0,"jamaica_rum%1:13:00::","Jamaica rum","n",13,"heavy pungent rum from Jamaica",NULL
107921714,115815,NULL,"schnapps",160975,1,0,0,"schnapps%1:13:00::",NULL,"n",13,"any of various strong liquors especially a Dutch spirit distilled from potatoes",NULL
107921714,115816,NULL,"schnaps",160976,1,0,0,"schnaps%1:13:00::",NULL,"n",13,"any of various strong liquors especially a Dutch spirit distilled from potatoes",NULL
107921858,106408,NULL,"pulque",146566,1,0,0,"pulque%1:13:00::",NULL,"n",13,"fermented Mexican drink from juice of various agave plants especially the maguey",NULL
107922010,84038,NULL,"mescal",116133,2,0,0,"mescal%1:13:00::",NULL,"n",13,"a colorless Mexican liquor distilled from fermented juices of certain desert plants of the genus Agavaceae (especially the century plant)",NULL
107922219,131482,NULL,"tequila",184697,1,0,0,"tequila%1:13:00::",NULL,"n",13,"Mexican liquor made from fermented juices of an agave plant",NULL
107922351,142313,NULL,"vodka",199814,1,0,0,"vodka%1:13:00::",NULL,"n",13,"unaged colorless liquor originating in Russia",NULL
107922524,144294,NULL,"whiskey",202837,1,0,6,"whiskey%1:13:00::",NULL,"n",13,"a liquor made from fermented mash of grain",NULL
107922524,144300,NULL,"whisky",202843,1,0,19,"whisky%1:13:00::",NULL,"n",13,"a liquor made from fermented mash of grain",NULL
107922812,14956,NULL,"blended whiskey",19921,1,0,0,"blended_whiskey%1:13:00::",NULL,"n",13,"mixture of two or more whiskeys or of a whiskey and neutral spirits",NULL
107922812,14957,NULL,"blended whisky",19922,1,0,0,"blended_whisky%1:13:00::",NULL,"n",13,"mixture of two or more whiskeys or of a whiskey and neutral spirits",NULL
107922958,16522,NULL,"bourbon",22198,2,0,1,"bourbon%1:13:00::",NULL,"n",13,"whiskey distilled from a mash of corn and malt and rye and aged in charred oak barrels",NULL
107923117,30048,NULL,"corn",41727,6,3,0,"corn%1:13:03::",NULL,"n",13,"whiskey distilled from a mash of not less than 80 percent corn",NULL
107923117,30091,NULL,"corn whiskey",41781,1,0,0,"corn_whiskey%1:13:00::",NULL,"n",13,"whiskey distilled from a mash of not less than 80 percent corn",NULL
107923117,30092,NULL,"corn whisky",41782,1,0,0,"corn_whisky%1:13:00::",NULL,"n",13,"whiskey distilled from a mash of not less than 80 percent corn",NULL
107923277,48768,NULL,"firewater",68519,1,0,0,"firewater%1:13:00::",NULL,"n",13,"any strong spirits (such as strong whisky or rum)",NULL
107923401,70774,15670,"irish",98267,2,0,0,"irish%1:13:00::","Irish","n",13,"whiskey made in Ireland chiefly from barley",NULL
107923401,70798,15694,"irish whiskey",98293,1,0,0,"irish_whiskey%1:13:00::","Irish whiskey","n",13,"whiskey made in Ireland chiefly from barley",NULL
107923401,70799,15695,"irish whisky",98294,1,0,0,"irish_whisky%1:13:00::","Irish whisky","n",13,"whiskey made in Ireland chiefly from barley",NULL
107923582,103421,NULL,"poteen",142204,1,0,0,"poteen%1:13:00::",NULL,"n",13,"unlawfully distilled Irish whiskey",NULL
107923669,113757,NULL,"rye",158229,3,0,0,"rye%1:13:00::",NULL,"n",13,"whiskey distilled from rye or rye and malt",NULL
107923669,113761,NULL,"rye whiskey",158235,1,0,0,"rye_whiskey%1:13:00::",NULL,"n",13,"whiskey distilled from rye or rye and malt",NULL
107923669,113762,NULL,"rye whisky",158236,1,0,0,"rye_whisky%1:13:00::",NULL,"n",13,"whiskey distilled from rye or rye and malt",NULL
107923788,81308,NULL,"malt whiskey",112429,1,0,0,"malt_whiskey%1:13:00::",NULL,"n",13,"whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still",NULL
107923788,81309,NULL,"malt whisky",112430,1,0,0,"malt_whisky%1:13:00::",NULL,"n",13,"whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still",NULL
107923788,116158,28561,"scotch",161437,2,0,0,"scotch%1:13:00::","Scotch","n",13,"whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still",NULL
107923788,116168,28571,"scotch malt whiskey",161452,1,0,0,"scotch_malt_whiskey%1:13:00::","Scotch malt whiskey","n",13,"whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still",NULL
107923788,116169,28572,"scotch malt whisky",161453,1,0,0,"scotch_malt_whisky%1:13:00::","Scotch malt whisky","n",13,"whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still",NULL
107923788,116176,28579,"scotch whiskey",161461,1,0,0,"scotch_whiskey%1:13:00::","Scotch whiskey","n",13,"whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still",NULL
107923788,116177,28580,"scotch whisky",161462,1,0,0,"scotch_whisky%1:13:00::","Scotch whisky","n",13,"whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still",NULL
107924071,123069,NULL,"sour mash",171974,2,0,0,"sour_mash%1:13:00::",NULL,"n",13,"any whiskey distilled from sour mash",NULL
107924071,123070,NULL,"sour mash whiskey",171976,1,0,0,"sour_mash_whiskey%1:13:00::",NULL,"n",13,"any whiskey distilled from sour mash",NULL
107924183,29961,NULL,"cordial",41601,1,0,0,"cordial%1:13:00::",NULL,"n",13,"strong highly flavored sweet liquor usually drunk after a meal",NULL
107924183,78188,NULL,"liqueur",108238,1,0,0,"liqueur%1:13:00::",NULL,"n",13,"strong highly flavored sweet liquor usually drunk after a meal",NULL
107924651,736,NULL,"absinth",941,1,0,0,"absinth%1:13:00::",NULL,"n",13,"strong green liqueur flavored with wormwood and anise",NULL
107924651,737,NULL,"absinthe",942,2,0,0,"absinthe%1:13:00::",NULL,"n",13,"strong green liqueur flavored with wormwood and anise",NULL
107924807,4445,NULL,"amaretto",5936,1,0,0,"amaretto%1:13:00::",NULL,"n",13,"an Italian almond liqueur",NULL
107924887,5866,NULL,"anisette",7665,1,0,0,"anisette%1:13:00::",NULL,"n",13,"liquorice-flavored usually colorless sweet liqueur made from aniseed",NULL
107924887,5867,34593,"anisette de bordeaux",7666,1,0,0,"anisette_de_bordeaux%1:13:00::","anisette de Bordeaux","n",13,"liquorice-flavored usually colorless sweet liqueur made from aniseed",NULL
107925052,13151,NULL,"benedictine",17481,2,0,0,"benedictine%1:13:00::",NULL,"n",13,"a French liqueur originally made by Benedictine monks",NULL
107925163,23450,6518,"chartreuse",32004,1,0,0,"chartreuse%1:13:00::","Chartreuse","n",13,"aromatic green or yellow liqueur flavored with orange peel and hyssop and peppermint oils; made at monastery near Grenoble, France",NULL
107925369,26914,NULL,"coffee liqueur",36778,1,0,0,"coffee_liqueur%1:13:00::",NULL,"n",13,"coffee-flavored liqueur",NULL
107925471,31444,NULL,"creme de cacao",43770,1,0,0,"creme_de_cacao%1:13:00::",NULL,"n",13,"sweet liqueur flavored with vanilla and cacao beans",NULL
107925602,31446,NULL,"creme de menthe",43772,1,0,0,"creme_de_menthe%1:13:00::",NULL,"n",13,"sweet green or white mint-flavored liqueur",NULL
107925744,31445,NULL,"creme de fraise",43771,1,0,0,"creme_de_fraise%1:13:00::",NULL,"n",13,"strawberry-flavored liqueur",NULL
107925833,39022,9451,"drambuie",55007,1,0,0,"drambuie%1:13:00::","Drambuie","n",13,"a sweet Scotch whisky liqueur",NULL
107925954,52462,12255,"galliano",74134,1,0,0,"galliano%1:13:00::","Galliano","n",13,"golden Italian liqueur flavored with herbs",NULL
107926051,93740,NULL,"orange liqueur",129029,1,0,0,"orange_liqueur%1:13:00::",NULL,"n",13,"liqueur flavored with orange",NULL
107926194,32482,NULL,"curacao",45279,2,0,0,"curacao%1:13:00::",NULL,"n",13,"flavored with sour orange peel",NULL
107926194,32483,NULL,"curacoa",45281,1,0,0,"curacoa%1:13:00::",NULL,"n",13,"flavored with sour orange peel",NULL
107926288,135636,NULL,"triple sec",190680,1,0,0,"triple_sec%1:13:00::",NULL,"n",13,"type of curacao having higher alcoholic content",NULL
107926392,59353,13175,"grand marnier",82278,1,0,0,"grand_marnier%1:13:00::","Grand Marnier","n",13,"an orange-flavored French liqueur",NULL
107926485,74615,NULL,"kummel",103312,1,0,0,"kummel%1:13:00::",NULL,"n",13,"liqueur flavored with caraway seed or cumin",NULL
107926619,81827,NULL,"maraschino",113166,1,2,0,"maraschino%1:13:02::",NULL,"n",13,"distilled from fermented juice of bitter wild marasca cherries",NULL
107926619,81829,NULL,"maraschino liqueur",113169,1,0,0,"maraschino_liqueur%1:13:00::",NULL,"n",13,"distilled from fermented juice of bitter wild marasca cherries",NULL
107926778,97326,NULL,"pastis",133872,1,0,0,"pastis%1:13:00::",NULL,"n",13,"similar to absinthe but containing no wormwood",NULL
107926896,98777,24341,"pernod",135854,1,0,0,"pernod%1:13:00::","Pernod","n",13,"(registered trademark) a liqueur flavored with anise",NULL
107927039,103535,NULL,"pousse-cafe",142395,1,0,0,"pousse-cafe%1:13:00::",NULL,"n",13,"small drink served after dinner (especially several liqueurs poured carefully so as to remain in separate layers)",NULL
107927210,73163,17009,"kahlua",101410,1,0,0,"kahlua%1:13:00::","Kahlua","n",13,"coffee-flavored liqueur made in Mexico",NULL
107927301,108506,NULL,"ratafee",149717,1,1,0,"ratafee%1:13:01::",NULL,"n",13,"sweet liqueur made from wine and brandy flavored with plum or peach or apricot kernels and bitter almonds",NULL
107927301,108507,NULL,"ratafia",149718,1,1,0,"ratafia%1:13:01::",NULL,"n",13,"sweet liqueur made from wine and brandy flavored with plum or peach or apricot kernels and bitter almonds",NULL
107927489,114587,NULL,"sambuca",159313,1,0,0,"sambuca%1:13:00::",NULL,"n",13,"an Italian liqueur made with elderberries and flavored with licorice",NULL
107927611,85754,NULL,"mixed drink",118378,1,0,0,"mixed_drink%1:13:00::",NULL,"n",13,"made of two or more ingredients",NULL
